"userId" "movieId" "rating" "timestamp" "ratingdate"
"1" 1 1 4 964982703 2000-07-30
"2" 1 3 4 964981247 2000-07-30
"3" 1 6 4 964982224 2000-07-30
"4" 1 47 5 964983815 2000-07-30
"5" 1 50 5 964982931 2000-07-30
"6" 1 70 3 964982400 2000-07-30
"7" 1 101 5 964980868 2000-07-30
"8" 1 110 4 964982176 2000-07-30
"9" 1 151 5 964984041 2000-07-30
"10" 1 157 5 964984100 2000-07-30
"11" 1 163 5 964983650 2000-07-30
"12" 1 216 5 964981208 2000-07-30
"13" 1 223 3 964980985 2000-07-30
"14" 1 231 5 964981179 2000-07-30
"15" 1 235 4 964980908 2000-07-30
"16" 1 260 5 964981680 2000-07-30
"17" 1 296 3 964982967 2000-07-30
"18" 1 316 3 964982310 2000-07-30
"19" 1 333 5 964981179 2000-07-30
"20" 1 349 4 964982563 2000-07-30
"21" 1 356 4 964980962 2000-07-30
"22" 1 362 5 964982588 2000-07-30
"23" 1 367 4 964981710 2000-07-30
"24" 1 423 3 964982363 2000-07-30
"25" 1 441 4 964980868 2000-07-30
"26" 1 457 5 964981909 2000-07-30
"27" 1 480 4 964982346 2000-07-30
"28" 1 500 3 964981208 2000-07-30
"29" 1 527 5 964984002 2000-07-30
"30" 1 543 4 964981179 2000-07-30
"31" 1 552 4 964982653 2000-07-30
"32" 1 553 5 964984153 2000-07-30
"33" 1 590 4 964982546 2000-07-30
"34" 1 592 4 964982271 2000-07-30
"35" 1 593 4 964983793 2000-07-30
"36" 1 596 5 964982838 2000-07-30
"37" 1 608 5 964982931 2000-07-30
"38" 1 648 3 964982563 2000-07-30
"39" 1 661 5 964982838 2000-07-30
"40" 1 673 3 964981775 2000-07-30
"41" 1 733 4 964982400 2000-07-30
"42" 1 736 3 964982653 2000-07-30
"43" 1 780 3 964984086 2000-07-30
"44" 1 804 4 964980499 2000-07-30
"45" 1 919 5 964982475 2000-07-30
"46" 1 923 5 964981529 2000-07-30
"47" 1 940 5 964982176 2000-07-30
"48" 1 943 4 964983614 2000-07-30
"49" 1 954 5 964983219 2000-07-30
"50" 1 1009 3 964981775 2000-07-30
"51" 1 1023 5 964982681 2000-07-30
"52" 1 1024 5 964982876 2000-07-30
"53" 1 1025 5 964982791 2000-07-30
"54" 1 1029 5 964982855 2000-07-30
"55" 1 1030 3 964982903 2000-07-30
"56" 1 1031 5 964982653 2000-07-30
"57" 1 1032 5 964982791 2000-07-30
"58" 1 1042 4 964981179 2000-07-30
"59" 1 1049 5 964982400 2000-07-30
"60" 1 1060 4 964980924 2000-07-30
"61" 1 1073 5 964981680 2000-07-30
"62" 1 1080 5 964981327 2000-07-30
"63" 1 1089 5 964982951 2000-07-30
"64" 1 1090 4 964984018 2000-07-30
"65" 1 1092 5 964983484 2000-07-30
"66" 1 1097 5 964981680 2000-07-30
"67" 1 1127 4 964982513 2000-07-30
"68" 1 1136 5 964981327 2000-07-30
"69" 1 1196 5 964981827 2000-07-30
"70" 1 1197 5 964981872 2000-07-30
"71" 1 1198 5 964981827 2000-07-30
"72" 1 1206 5 964983737 2000-07-30
"73" 1 1208 4 964983250 2000-07-30
"74" 1 1210 5 964980499 2000-07-30
"75" 1 1213 5 964982951 2000-07-30
"76" 1 1214 4 964981855 2000-07-30
"77" 1 1219 2 964983393 2000-07-30
"78" 1 1220 5 964981909 2000-07-30
"79" 1 1222 5 964981909 2000-07-30
"80" 1 1224 5 964984018 2000-07-30
"81" 1 1226 5 964983618 2000-07-30
"82" 1 1240 5 964983723 2000-07-30
"83" 1 1256 5 964981442 2000-07-30
"84" 1 1258 3 964983414 2000-07-30
"85" 1 1265 4 964983599 2000-07-30
"86" 1 1270 5 964983705 2000-07-30
"87" 1 1275 5 964982290 2000-07-30
"88" 1 1278 5 964983414 2000-07-30
"89" 1 1282 5 964982703 2000-07-30
"90" 1 1291 5 964981909 2000-07-30
"91" 1 1298 5 964984086 2000-07-30
"92" 1 1348 4 964983393 2000-07-30
"93" 1 1377 3 964982653 2000-07-30
"94" 1 1396 3 964983017 2000-07-30
"95" 1 1408 3 964982310 2000-07-30
"96" 1 1445 3 964984112 2000-07-30
"97" 1 1473 4 964980875 2000-07-30
"98" 1 1500 4 964980985 2000-07-30
"99" 1 1517 5 964981107 2000-07-30
"100" 1 1552 4 964982620 2000-07-30
"101" 1 1573 5 964982290 2000-07-30
"102" 1 1580 3 964981125 2000-07-30
"103" 1 1587 5 964982346 2000-07-30
"104" 1 1617 5 964982951 2000-07-30
"105" 1 1620 4 964983056 2000-07-30
"106" 1 1625 5 964983504 2000-07-30
"107" 1 1644 3 964983536 2000-07-30
"108" 1 1676 3 964982620 2000-07-30
"109" 1 1732 5 964981125 2000-07-30
"110" 1 1777 4 964981230 2000-07-30
"111" 1 1793 4 964981404 2000-07-30
"112" 1 1804 5 964983034 2000-07-30
"113" 1 1805 4 964983056 2000-07-30
"114" 1 1920 4 964981780 2000-07-30
"115" 1 1927 5 964981497 2000-07-30
"116" 1 1954 5 964982176 2000-07-30
"117" 1 1967 4 964981710 2000-07-30
"118" 1 2000 4 964982211 2000-07-30
"119" 1 2005 5 964981710 2000-07-30
"120" 1 2012 4 964984176 2000-07-30
"121" 1 2018 5 964980523 2000-07-30
"122" 1 2028 4 964981888 2000-07-30
"123" 1 2033 5 964982903 2000-07-30
"124" 1 2046 4 964982563 2000-07-30
"125" 1 2048 5 964982791 2000-07-30
"126" 1 2054 4 964981747 2000-07-30
"127" 1 2058 5 964982400 2000-07-30
"128" 1 2078 5 964982838 2000-07-30
